"screen_name","line","word"
"BuildingToys1",8,"edition"
"BuildingToys1",8,"star"
"BuildingToys1",8,"wars"
"BuildingToys1",8,"darth"
"BuildingToys1",8,"revan"
"BuildingToys1",8,"https://t.co/6vzqqh2fja"
"BuildingToys1",8,"ebay"
"BuildingToys1",8,"https://t.co/3z1xisqocv"
"BuildingToys1",9,"lego"
"BuildingToys1",9,"star"
"BuildingToys1",9,"wars"
"BuildingToys1",9,"super"
"BuildingToys1",9,"pack"
"BuildingToys1",9,"amp"
"BuildingToys1",9,"amp"
"BuildingToys1",9,"https://t.co/bz5rs150mk"
"BuildingToys1",9,"ebay"
"BuildingToys1",9,"https://t.co/cmmpkiez2i"
"BuildingToys1",10,"lego"
"BuildingToys1",10,"star"
"BuildingToys1",10,"wars"
"BuildingToys1",10,"slave"
"BuildingToys1",10,"20th"
"BuildingToys1",10,"anniversary"
"BuildingToys1",10,"edition"
"BuildingToys1",10,"retired"
"BuildingToys1",10,"amp"
"BuildingToys1",10,"sealed"
"BuildingToys1",10,"https://t.co/fyq42pdn5b"
"BuildingToys1",10,"ebay"
"BuildingToys1",10,"https://t.co/2ieslkgkct"
"BuildingToys1",11,"lot"
"BuildingToys1",11,"lego"
"BuildingToys1",11,"minifigures"
"BuildingToys1",11,"star"
"BuildingToys1",11,"wars"
"BuildingToys1",11,"jedi"
"BuildingToys1",11,"droid"
"BuildingToys1",11,"yoda"
"BuildingToys1",11,"knight"
"BuildingToys1",11,"dark"
"BuildingToys1",11,"forest"
"BuildingToys1",11,"gungan"
"BuildingToys1",11,"https://t.co/gt0dvqxrvs"
"BuildingToys1",11,"ebay"
"BuildingToys1",11,"https://t.co/lnced1pkcq"
"BuildingToys1",12,"lego"
"BuildingToys1",12,"minifigures"
"BuildingToys1",12,"lot"
"BuildingToys1",12,"star"
"BuildingToys1",12,"wars"
"BuildingToys1",12,"https://t.co/uqae48blmq"
"BuildingToys1",12,"ebay"
"BuildingToys1",12,"https://t.co/iyud4thmwu"
"BuildingToys1",13,"lego"
"BuildingToys1",13,"star"
"BuildingToys1",13,"wars"
"BuildingToys1",13,"minifigure"
"BuildingToys1",13,"set"
"BuildingToys1",13,"sealed"
"BuildingToys1",13,"https://t.co/uwapwjbbru"
"BuildingToys1",13,"ebay"
"BuildingToys1",13,"https://t.co/hbwsw6y0fj"
"BuildingToys1",14,"lego"
"BuildingToys1",14,"star"
"BuildingToys1",14,"wars"
"BuildingToys1",14,"imperial"
"BuildingToys1",14,"light"
"BuildingToys1",14,"cruiser"
"BuildingToys1",14,"building"
"BuildingToys1",14,"toy"
"BuildingToys1",14,"kids"
"BuildingToys1",14,"pieces"
"BuildingToys1",14,"https://t.co/dqnnzdjyau"
"BuildingToys1",14,"ebay"
"BuildingToys1",14,"https://t.co/bvs53ww6p7"
"BuildingToys1",15,"lego"
"BuildingToys1",15,"star"
"BuildingToys1",15,"wars"
"BuildingToys1",15,"republic"
"BuildingToys1",15,"cruiser"
"BuildingToys1",15,"limited"
"BuildingToys1",15,"editionwith"
"BuildingToys1",15,"r2r7"
"BuildingToys1",15,"complete"
"BuildingToys1",15,"https://t.co/o6alck0xz4"
"BuildingToys1",15,"ebay"
"BuildingToys1",15,"https://t.co/guxil53np4"
"BuildingToys1",16,"lego"
"BuildingToys1",16,"star"
