"created_at","status_id","text","truncated","source","status_in_reply_to_status_id","status_in_reply_to_user_id","in_reply_to_screen_name","geo","coordinates","contributors","is_quote_status","retweet_count","favorite_count","favorited","retweeted","lang","possibly_sensitive","status_quoted_status_id"
2021-08-26 17:20:12,"x1430943173078142977","@StarTrek_Lt I believe it. 
Sadly anyone listening into my place would be terribly bored.",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1430941096612270083","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-26 01:47:31,"x1430708455426383873","@StarTrek_Lt This looks awesome!! Love the picture of the lemur in the corner",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1430708295749103618","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-25 23:23:47,"x1430672281219440644","@StarTrek_Lt All help is welcomed :)",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430669996993126401","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-25 23:20:13,"x1430671385353854977","@StarTrek_Lt Hahaha, yeah, I don't think you can help me :(. I need to test this in clusters with Slurm (… https://t.co/TLEAUpZCzw",TRUE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430669511548575745","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",FALSE,
2021-08-25 23:09:56,"x1430668798235865091","@StarTrek_Lt Great! Do you have a Slurm cluster available?",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430663875553157120","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"en",,
2021-08-25 22:20:52,"x1430656447298392065","@StarTrek_Lt Oh! Joining now….",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1430655924457263106","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-25 22:17:23,"x1430655572433592320","@StarTrek_Lt Recently had a question closed by a ‘high rep user’ because ‘not able to replicate’ but the data was a… https://t.co/54LHzw37Oi",TRUE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1430654455893032963","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,FALSE,FALSE,"en",,
2021-08-25 20:02:22,"x1430621596083834880","@StarTrek_Lt https://t.co/hmjG0dG19x",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430621333856030720","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"und",FALSE,
2021-08-25 19:52:17,"x1430619059012489223","@StarTrek_Lt !!!!!! THIS!",FALSE,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","x1430618809019211776","x780551700432117760","StarTrek_Lt",,,,FALSE,0,1,TRUE,FALSE,"en",,
2021-08-25 19:48:28,"x1430618096444665857","@StarTrek_Lt https://t.co/0ZjZlzV5Wk",FALSE,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","x1430612459627302912","x780551700432117760","StarTrek_Lt",,,,FALSE,0,0,FALSE,FALSE,"und",FALSE,
