"user","user_id"
"CaulfieldTim","x19916680"
"CaulfieldTim","x2258166949"
"CaulfieldTim","x1388985599701385217"
"CaulfieldTim","x271717359"
"CaulfieldTim","x219074016"
"CaulfieldTim","x4898843075"
"CaulfieldTim","x1513820898"
"CaulfieldTim","x151515980"
"CaulfieldTim","x250412506"
"CaulfieldTim","x624223704"
"CaulfieldTim","x235426681"
"CaulfieldTim","x1309153880"
"CaulfieldTim","x23670746"
"CaulfieldTim","x415136261"
"CaulfieldTim","x1306608747041693699"
"CaulfieldTim","x32774123"
"CaulfieldTim","x725329506"
"CaulfieldTim","x2590297926"
"CaulfieldTim","x1360646844385263616"
"CaulfieldTim","x51396974"
"CaulfieldTim","x598976673"
"CaulfieldTim","x247458938"
"CaulfieldTim","x466649398"
"CaulfieldTim","x1083435013549350912"
"CaulfieldTim","x4596393913"
"CaulfieldTim","x1216414909115912194"
"CaulfieldTim","x72383676"
"CaulfieldTim","x3397005419"
"CaulfieldTim","x82586684"
"CaulfieldTim","x2835731275"
"CaulfieldTim","x17060020"
"CaulfieldTim","x98077302"
"CaulfieldTim","x140897494"
"CaulfieldTim","x13029132"
"CaulfieldTim","x1172930011"
"CaulfieldTim","x409015553"
"CaulfieldTim","x21756477"
"CaulfieldTim","x17744403"
"CaulfieldTim","x107527574"
"CaulfieldTim","x124352777"
"CaulfieldTim","x322871349"
"CaulfieldTim","x1113131900720345094"
"CaulfieldTim","x94411354"
"CaulfieldTim","x529704495"
"CaulfieldTim","x244136158"
"CaulfieldTim","x152889033"
"CaulfieldTim","x23760311"
"CaulfieldTim","x1196563180237049857"
"CaulfieldTim","x3058131"
"CaulfieldTim","x258419241"
"CaulfieldTim","x818733968"
"CaulfieldTim","x216965925"
"CaulfieldTim","x2546255593"
"CaulfieldTim","x2790270869"
"CaulfieldTim","x973116890"
"CaulfieldTim","x1009278193898082304"
"CaulfieldTim","x4896117477"
"CaulfieldTim","x16868756"
"CaulfieldTim","x352650313"
"CaulfieldTim","x204946416"
"CaulfieldTim","x19886297"
"CaulfieldTim","x20960764"
"CaulfieldTim","x230621630"
"CaulfieldTim","x51077529"
"CaulfieldTim","x210226021"
"CaulfieldTim","x335944271"
"CaulfieldTim","x28618231"
"CaulfieldTim","x818150114"
"CaulfieldTim","x310396618"
"CaulfieldTim","x198636992"
"CaulfieldTim","x58881437"
"CaulfieldTim","x1342208414940712960"
"CaulfieldTim","x32992891"
"CaulfieldTim","x1615717668"
"CaulfieldTim","x737281617136357376"
"CaulfieldTim","x1145893862"
"CaulfieldTim","x3807212176"
"CaulfieldTim","x23129379"
"CaulfieldTim","x31565351"
"CaulfieldTim","x1257411903753617408"
"CaulfieldTim","x86002394"
"CaulfieldTim","x61585721"
"CaulfieldTim","x353869425"
"CaulfieldTim","x1369022150732967938"
"CaulfieldTim","x16296908"
"CaulfieldTim","x1107296448"
"CaulfieldTim","x19002345"
"CaulfieldTim","x72842277"
"CaulfieldTim","x41187287"
"CaulfieldTim","x1456299877"
"CaulfieldTim","x1339341281609310208"
"CaulfieldTim","x316191653"
"CaulfieldTim","x314301334"
"CaulfieldTim","x201774949"
"CaulfieldTim","x14412101"
"CaulfieldTim","x206022655"
"CaulfieldTim","x17795686"
"CaulfieldTim","x134429434"
"CaulfieldTim","x3021293616"
"CaulfieldTim","x575014349"
"CaulfieldTim","x239210681"
"CaulfieldTim","x1072511"
"CaulfieldTim","x19263723"
"CaulfieldTim","x1669776499"
"CaulfieldTim","x2917670014"
"CaulfieldTim","x46289382"
